ProjectID,ProjectName,DepartmentID,DepartmentName,SalarySessionID,SessionName,EmployeeID,EmployeeCode,EmployeeFullName,NetPayable,TotalDaysInSession,OnJob,Holiday,TotalLeaveDays,LWP,PayableDays
49,Execura,76,Engineering,50197,Feb 2025,122580,EMP1166,Nadia Rahman,98570,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,122561,EMP1157,Maliha Hossain,83698,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,152888,EMP1110,Sadia Chowdhury,65000,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,163017,EMP1072,Lubna Khan,12000,30,12,6,0,0,18
49,Execura,54,Engineering,50197,Feb 2025,162987,EMP1049,Maliha Ahmed,25000,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,132860,EMP1185,Lubna Sarker,14544,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,163016,EMP1071,Maliha Chowdhury,14667,30,16,6,0,0,22
49,Execura,54,Engineering,50197,Feb 2025,111440,EMP1206,Shanta Ahmed,50473,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,162988,EMP1050,Tamim Khan,20000,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,111447,EMP1211,Tamim Jahan,33726,30,24,6,0,0,30
49,Execura,54,Engineering,50197,Feb 2025,163011,EMP1066,Tamim Khan,30000,30,24,6,0,0,30
49,Execura,80,Engineering,50197,Feb 2025,162918,EMP1005,Rafi Jahan,124215,30,24,6,1,0,30
49,Execura,70,Engineering,50197,Feb 2025,132818,EMP1164,Tamim Ahmed,124215,30,24,6,0,0,30
49,Execura,3,Admin,50197,Feb 2025,112172,EMP1139,Nadia Sarker,34944,30,24,6,4,0,30
49,Execura,54,Engineering,50197,Feb 2025,162909,EMP1000,Rafi Jahan,27945,30,24,6,0,0,30
49,Execura,72,Finance,50197,Feb 2025,132861,EMP1186,Tariq Chowdhury,48083,30,24,6,1,0,30
49,Execura,58,Finance,50197,Feb 2025,132851,EMP1182,Maliha Miah,29700,30,24,6,2,0,30
30133,Surjomukhi,3,Admin,50197,Feb 2025,122438,EMP1143,Maliha Miah,59700,30,24,6,3,0,30
49,Execura,79,Procurement,50197,Feb 2025,122613,EMP1183,Sohan Khan,22305,30,24,6,0,0,30
49,Execura,58,Finance,50197,Feb 2025,152903,EMP1114,Shanta Rahman,35000,30,24,6,7,0,30
50192,Westlake,3,Admin,50197,Feb 2025,122262,EMP1120,Tariq Miah,37633,30,24,6,1,0,30
49,Execura,58,Finance,50197,Feb 2025,152906,EMP1116,Sohan Miah,37583,30,24,6,0,0,30
49,Execura,72,Finance,50197,Feb 2025,152902,EMP1113,Tariq Chowdhury,39583,30,24,6,0,0,30
49,Execura,79,Procurement,50197,Feb 2025,162924,EMP1010,Shanta Chowdhury,83970,30,24,6,0,0,30
49,Execura,78,Finance,50197,Feb 2025,132788,EMP1154,Nadia Jahan,47994,30,24,6,0,0,30
49,Execura,53,Site Ops,50197,Feb 2025,112227,EMP1147,Abir Sarker,83970,30,24,6,0,0,30
49,Execura,71,,50197,Feb 2025,111448,EMP1212,Nadia Khan,41347,30,24,6,0,0,30
49,Execura,7,Finance,50197,Feb 2025,162986,EMP1048,Tariq Sarker,15000,30,24,6,0,0,30
49,Execura,6,Admin,50197,Feb 2025,122579,EMP1165,Maliha Jahan,22477,30,24,6,0,0,30
49,Execura,6,Admin,50197,Feb 2025,122277,EMP1121,Maliha Hossain,20536,30,24,6,0,0,30
49,Execura,7,Finance,50197,Feb 2025,132808,EMP1160,Sohan Ahmed,17824,30,24,6,1,0,30
49,Execura,7,Finance,50197,Feb 2025,162915,EMP1004,Nadia Rahman,16160,30,24,6,0,0,30
49,Execura,6,Admin,50197,Feb 2025,122242,EMP1118,Abir Jahan,21612,30,24,6,0,0,30
49,Execura,6,Admin,50197,Feb 2025,112174,EMP1140,Shanta Ahmed,17501,30,24,6,4,0,30
49,Execura,6,Admin,50197,Feb 2025,122296,EMP1122,Abir Ahmed,13724,30,24,6,0,0,30
